"auth.name","2015","2016","2017","2018","2019","change","change.4"
"Edinburgh City",27712,30234,32556,32481,33541,3.26344632246544,4.8882969876624
"Glasgow City",19530,20203,20086,19291,21437.93838,11.1292228500337,2.35762342869115
"Aberdeen City",8444,8040,8397,7869,8154,3.62180709111703,-0.869882575882286
"Dundee City",4485,3751,5094,5140,5252,2.17898832684824,4.02568098644731
"Fife",2958,3467,3579,3814,4000,4.8767697954903,7.83641848083669
"Perth and Kinross",2856,2905,3225,3546,3555,0.253807106598998,5.625882501113
"Highland",1519,1815,2251,2552,2680,5.01567398119123,15.2508813015201
"South Lanarkshire",2462,2352,2275,2301,2327,1.12994350282484,-1.39996169202163
"Stirling",1671,1620,2218,2040,2161,5.93137254901961,6.63986319115306
"East Ayrshire",1528,1790,2084,1358,1400,3.09278350515463,-2.16344086678364
"Argyll and Bute",1089,1089,1052,1191,1202,0.923593618807715,2.49888638969256
"Renfrewshire",1066,1052,1021,1080,891,-17.5,-4.38409833105671
"Moray",681,690,676,873,877,0.458190148911797,6.5278397981096
"Falkirk",223,462,411,529,772,45.9357277882798,36.4043151122479
"South Ayrshire",0,1187,886,1009,736,-27.0564915758176,NA
"Angus",6,6,0,351,593,68.9458689458689,215.30137215059
"East Dunbartonshire",53,184,323,617,579,-6.15883306320907,81.8028443286876
"Aberdeenshire",416,488,443,466,544,16.7381974248927,6.93660504213378
"East Lothian",0,84,458,482,501,3.94190871369295,NA
"Inverclyde",328,385,396,507,472,-6.90335305719921,9.52595249799524
"Midlothian",0,0,0,194,271,39.6907216494845,NA
"North Ayrshire",165,195,185,195,186,-4.61538461538461,3.0403321587547
"Scottish Borders",141,174,165,186,177,-4.83870967741935,5.84943359352206
"Orkney Islands",85,110,149,150,158,5.33333333333333,16.7641548776825
"East Renfrewshire",211,216,193,201,154,-23.3830845771144,-7.57072077133979
"Shetland Islands",72,27,28,13,91,600,6.02962464657397
"Na h-Eileanan an Iar",37,36,47,74,71,-4.05405405405406,17.6966647613032
"Clackmannanshire",14,0,0,33,38,15.1515151515152,28.3553248640596
"Dumfries and Galloway",14,15,17,11,8,-27.2727272727273,-13.0558256110017
"North Lanarkshire",0,0,0,0,0,0,0
"West Dunbartonshire",0,0,0,0,0,0,0
"West Lothian",0,0,0,0,0,0,0
"Total",77766,82577,88215,88554,92828.93838,4.82749325835084,4.52577726347283
