"dpe.now","dpe.next","dpe.not"
"Angus (2017)"," ","Aberdeenshire"
"Argyll and Bute (2014)"," ","Clackmannanshire"
"Edinburgh City (1998)"," ","Dumfries and Galloway"
"Dundee City (2004)"," ","Moray"
"East Ayrshire (2012)"," ","Na h-Eileanan an Iar"
"East Dunbartonshire (2014)"," ","North Ayrshire"
"East Lothian (2017)"," ","Orkney Islands"
"East Renfrewshire (2013)"," ","Scottish Borders"
"Falkirk (2018)"," ","Shetland Islands"
"Fife (2013)"," ","West Dunbartonshire"
"Glasgow City (1999)"," ","West Lothian"
"Highland (2016)"," ",NA
"Inverclyde (2014)"," ",NA
"Midlothian (2018)"," ",NA
"North Lanarkshire (2017)"," ",NA
"Perth and Kinross (2002)"," ",NA
"Renfrewshire (2010)"," ",NA
"South Ayrshire (2012)"," ",NA
"South Lanarkshire (2005)"," ",NA
"Stirling (2017)"," ",NA
"Aberdeen City (2003)"," ",NA
