"auth.name","2016","2017","2018","2019","2020","change","change.4"
"Edinburgh City",30234,32556,32481,33541,20102,-40.0673802212218,-9.70038160842405
"Glasgow City",20203,20086,19291,21437.93838,7580,-64.6421224576726,-21.7357666407691
"Aberdeen City",8040,8397,7869,8154,3717,-54.4150110375276,-17.5417472478353
"Dundee City",3751,5094,5140,5252,1743,-66.8126428027418,-17.4365977879785
"Fife",3467,3579,3814,4000,1664,-58.4,-16.7661717352824
"Perth and Kinross",2905,3225,3546,3555,1465,-58.7904360056259,-15.7300236592106
"Highland",1815,2251,2552,2680,1454,-45.7462686567164,-5.39328904809008
"Stirling",1620,2218,2040,2161,839,-61.1753817677001,-15.167603372005
"East Lothian",84,458,482,501,632,26.1477045908184,65.6187292371342
"Argyll and Bute",1089,1052,1191,1202,618,-48.585690515807,-13.2059110564025
"East Ayrshire",1790,2084,1358,1400,515,-63.2142857142857,-26.7616503247648
"South Ayrshire",1187,886,1009,736,481,-34.6467391304348,-20.2145701172839
"South Lanarkshire",2352,2275,2301,2327,378,-83.7559088955737,-36.6839781043821
"Falkirk",462,411,529,772,299,-61.2694300518135,-10.3072575575807
"East Dunbartonshire",184,323,617,579,246,-57.5129533678756,7.52991958549389
"Renfrewshire",1052,1021,1080,891,223,-74.9719416386083,-32.1464958473009
"Midlothian",0,0,194,271,175,-35.4243542435424,NA
"Moray",690,676,873,877,101,-88.4834663625998,-38.1459600139568
"North Ayrshire",195,185,195,186,94,-49.4623655913978,-16.675385983766
"Angus",6,0,351,593,80,-86.5092748735244,91.0885584408734
"Inverclyde",385,396,507,472,80,-83.0508474576271,-32.4839051900547
"Orkney Islands",110,149,150,158,69,-56.3291139240506,-11.0053086064843
"Scottish Borders",174,165,186,177,67,-62.1468926553672,-21.2262739083668
"Aberdeenshire",488,443,466,544,53,-90.2573529411765,-42.5931110363256
"Na h-Eileanan an Iar",36,47,74,71,20,-71.830985915493,-13.6659978629549
"Clackmannanshire",0,0,33,38,18,-52.6315789473684,NA
"East Renfrewshire",216,193,201,154,16,-89.6103896103896,-47.8305139975571
"Shetland Islands",27,28,13,91,13,-85.7142857142857,-16.7000200186872
"Dumfries and Galloway",15,17,11,8,0,-100,-100
"North Lanarkshire",0,0,0,0,0,0,0
"West Dunbartonshire",0,0,0,0,0,0,0
"West Lothian",0,0,0,0,0,0,0
"Total",82577,88215,88554,92828.93838,42742,-53.9561684686801,-15.1798698065999
