"auth.name","2013","2014","2015","2016","2017","transport.total"
"Cardiff",2924.485,3426,3494.027,3657.781,12493.996,22055.76
"Swansea",1256,1951,2402,2467,8776.409,21733.57
"Carmarthenshire",795.181,789.824,1393.989,1327.647,3955.244,16622.75
"Gwynedd",797,927,1408,1355,3921,14680
"Conwy",579.63,659.213,1058.264,1019.329,2852.792,8846.731
"Pembrokeshire",376,492,583,597,2513,8300
"Powys",435.737,615,839,895,2484.022,11685.79
"Monmouthshire",584.635,740.696,930.895,928.622,2398.707,5990.751
"Denbighshire",541,484,458,658.053,1980.7519,9256.41
"Neath Port Talbot",245.427,186,208.29,118.256,1668.241,13827.42
"Ceredigion",278.03,325.199,15.865,520.056,1542.818,11030.77
"Wrexham",-149.1853,464.7642,315.9206,136.0446,1413.5658,8471.759
"Bridgend",495.896,111.259,231.671,294.969,1388.676,11135.73
"Rhondda Cynon Taf",393.047,545.239,496.67,530.72,1273.94,17179.33
"Merthyr Tydfil",200.7403,93.4749999999999,171.254,103.767,940.065,5151.347
"Isle of Anglesey",85,157,186,247,927,8788
"Newport",15.9200000000001,64.515,137.324,9.4609999999999,896.899,10175.94
"Vale of Glamorgan",53,151,108,132,788,9961.355
"Caerphilly",211.3,198.23,190.09,17.16,732.417,17260.5
"Flintshire",-510.656,-8.29910000000001,-422.852,-127.2221,463.336,18874.34
"Torfaen",-68,-51,-81,-72,-74,7961
"Blaenau Gwent",-244.125,-223.058,-310.438,-836.175,-422.853,6303.688
