"dpe.now","dpe.next","dpe.not"
"East Lothian (2017)"," ","Aberdeenshire"
"Angus (2017)"," ","Clackmannanshire"
"Argyll and Bute (2014)"," ","Dumfries and Galloway"
"Edinburgh City (1998)"," ","Moray"
"Dundee City (2004)"," ","Na h-Eileanan an Iar"
"East Ayrshire (2012)"," ","Orkney Islands"
"East Dunbartonshire (2014)"," ","Scottish Borders"
"East Renfrewshire (2013)"," ","Shetland Islands"
"Fife (2013)"," ","West Dunbartonshire"
"Glasgow City (1999)"," ","West Lothian"
"Highland (2016)"," ",NA
"Inverclyde (2014)"," ",NA
"Midlothian (2018)"," ",NA
"Falkirk (2018)"," ",NA
"North Lanarkshire (2017)"," ",NA
"Perth and Kinross (2002)"," ",NA
"Renfrewshire (2010)"," ",NA
"South Ayrshire (2012)"," ",NA
"South Lanarkshire (2005)"," ",NA
"Stirling (2017)"," ",NA
"Aberdeen City (2003)"," ",NA
