"auth.name","2014","2015","2016","2017","2018","change","change.4"
"Edinburgh City",25894,27712,30234,32556,32481,-0.230372281607075,5.82969925512107
"Glasgow City",18025,19530,20203,20086,19291,-3.95798068306283,1.71145497544245
"Aberdeen City",8730,8444,8040,8397,7869,-6.28795998570918,-2.56245672844193
"Dundee City",3876,4485,3751,5094,5140,0.90302316450726,7.3111471938889
"Fife",3302,2958,3467,3579,3814,6.56607991058955,3.66947637173518
"Perth and Kinross",2916,2856,2905,3225,3546,9.95348837209302,5.01172749660765
"Highland",1353,1519,1815,2251,2552,13.3718347401155,17.1913934900884
"South Lanarkshire",2281,2462,2352,2275,2301,1.14285714285714,0.218485025223125
"Stirling",2019,1671,1620,2218,2040,-8.02524797114518,0.259021595916864
"East Ayrshire",1493,1528,1790,2084,1358,-34.8368522072937,-2.34151323003091
"Argyll and Bute",1005,1089,1089,1052,1191,13.212927756654,4.33653864149681
"Renfrewshire",1063,1066,1052,1021,1080,5.77864838393731,0.397436235858062
"South Ayrshire",775,0,1187,886,1009,13.882618510158,6.81871911052991
"Moray",670,681,690,676,873,29.1420118343195,6.84024131016265
"East Dunbartonshire",54,53,184,323,617,91.0216718266254,83.853901812017
"Falkirk",419,223,462,411,529,28.7104622871046,6.00110981097661
"Inverclyde",157,328,385,396,507,28.030303030303,34.0531664145967
"East Lothian",0,0,84,458,482,5.24017467248908,NA
"Aberdeenshire",635,416,488,443,466,5.19187358916477,-7.44432597643157
"Angus",6,6,6,0,351,NA,176.559745270153
"East Renfrewshire",211,211,216,193,201,4.14507772020724,-1.20649342846085
"North Ayrshire",193,165,195,185,195,5.40540540540539,0.258066661693235
"Midlothian",0,0,0,0,194,NA,NA
"Scottish Borders",127,141,174,165,186,12.7272727272727,10.0087692205494
"Orkney Islands",80,85,110,149,150,0.671140939597322,17.0173659660358
"Na h-Eileanan an Iar",38,37,36,47,74,57.4468085106383,18.1304969027355
"Clackmannanshire",15,14,0,0,33,NA,21.7883285630907
"Shetland Islands",29,72,27,28,13,-53.5714285714286,-18.1749388382761
"Dumfries and Galloway",14,14,15,17,11,-35.2941176470588,-5.850902265188
"North Lanarkshire",0,0,0,0,0,0,0
"West Dunbartonshire",0,0,0,0,0,0,0
"West Lothian",0,0,0,0,0,0,0
"Total",75380,77766,82577,88215,88554,0.384288386328848,4.10893708382485
